,high_price,low_price,open_price,close_price,average_price,volume,buy_volume,sell_volume,average_price_last_3h,average_price_last_1h,hour,dayahead
2024-03-24 07:00:00+01:00,37.21,1.0,37.21,4.98,15.47,491.4,427.3,454.5,9.04,,7,36.15
2024-03-24 08:00:00+01:00,41.87,11.42,41.87,25.0,21.3,475.4,427.6,432.4,18.1,,8,40.71
2024-03-24 09:00:00+01:00,45.04,14.0,45.04,28.21,27.28,564.7,362.2,447.3,22.14,,9,43.78
2024-03-24 10:00:00+01:00,45.59,14.81,45.59,32.37,30.38,1063.0,585.1,775.7,26.62,,10,42.07
2024-03-24 11:00:00+01:00,47.67,13.04,24.89,29.0,29.17,1363.4,639.6,1140.2,23.37,,11,48.23
2024-03-24 12:00:00+01:00,46.52,-6.69,46.1,30.72,30.12,1673.7,536.1,1459.2,23.99,,12,49.63
2024-03-24 13:00:00+01:00,48.78,21.05,46.12,29.45,33.59,1436.1,628.2,1102.1,28.95,,13,48.31
2024-03-24 14:00:00+01:00,48.9,6.12,47.76,15.11,31.71,1438.1,848.5,1308.4,23.38,,14,49.04
2024-03-24 15:00:00+01:00,51.33,7.05,32.8,28.26,32.28,1205.7,764.2,1167.8,16.78,,15,51.23
2024-03-24 16:00:00+01:00,47.72,18.01,47.72,34.24,26.12,1064.4,840.5,1004.2,25.37,,16,52.72
2024-03-24 17:00:00+01:00,68.38,26.74,58.45,66.97,59.47,1616.4,664.5,1133.6,61.98,,17,59.4
2024-03-24 18:00:00+01:00,83.93,51.71,68.98,71.98,73.61,2121.6,947.1,1333.0,76.09,,18,75.0
2024-03-24 19:00:00+01:00,83.98,67.12,72.99,73.0,74.97,1994.9,1181.5,1292.4,76.44,,19,74.9
2024-03-24 20:00:00+01:00,78.34,61.95,61.95,67.29,67.92,2578.2,1523.2,1547.7,68.4,,20,66.9
2024-03-24 21:00:00+01:00,75.6,58.04,61.8,60.0,65.62,2145.1,1226.8,1356.2,63.94,,21,64.77
2024-03-24 22:00:00+01:00,75.06,50.0,59.95,54.0,64.57,1908.1,1270.0,1035.8,60.53,,22,64.27
2024-03-24 23:00:00+01:00,67.88,48.01,62.0,50.0,62.52,1653.8,1010.4,776.5,53.87,,23,62.97
2024-03-25 00:00:00+01:00,64.39,47.51,63.88,48.14,54.13,802.4,523.6,312.8,51.75,,0,62.51
2024-03-25 01:00:00+01:00,64.18,48.0,58.65,52.66,53.91,661.6,435.8,247.5,51.61,,1,62.29
2024-03-25 02:00:00+01:00,62.48,46.5,62.07,53.8,53.97,584.6,373.1,228.2,51.61,,2,62.48
2024-03-25 03:00:00+01:00,64.91,55.0,64.91,55.7,58.74,619.5,365.2,299.4,57.31,,3,64.51
2024-03-25 04:00:00+01:00,67.76,55.36,67.76,58.1,61.54,657.3,405.1,271.4,59.93,,4,66.96
2024-03-25 05:00:00+01:00,79.98,58.02,79.98,62.57,70.25,932.8,457.8,524.0,64.33,,5,77.14
2024-03-25 06:00:00+01:00,90.78,68.83,90.04,69.01,78.66,765.8,394.5,409.0,74.38,,6,88.43
2024-03-25 07:00:00+01:00,113.0,82.14,101.2,86.4,102.82,750.4,412.2,399.6,95.59,,7,113.87
2024-03-25 08:00:00+01:00,97.77,82.21,96.02,89.81,90.37,721.9,290.0,450.6,88.17,,8,99.68
2024-03-25 09:00:00+01:00,78.95,59.31,78.95,74.05,72.95,788.7,300.9,551.8,73.43,,9,77.43
